id,title,description,remind,user_id
1,Встреча,С Иваном,2026-03-01T10:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
2,Купить продукты,Молоко хлеб яйца,2026-03-02T12:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
3,Звонок врачу,Записаться на приём,2026-03-03T09:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
4,День рождения,Поздравить маму,2026-03-04T08:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
5,Оплатить счета,Интернет и свет,2026-03-05T11:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
6,Спортзал,Не забыть форму,2026-03-06T07:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
7,Совещание,С командой в 14:00,2026-03-07T14:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
8,Забрать посылку,С почты на Ленина,2026-03-08T15:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
9,Техосмотр,Отвезти машину,2026-03-09T10:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
10,Купить подарок,На день рождения Пети,2026-03-10T13:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
11,Встреча с клиентом,Обсудить контракт,2026-03-11T11:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
12,Сдать отчёт,Квартальный отчёт,2026-03-12T09:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
13,Позвонить другу,Давно не общались,2026-03-13T18:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
14,Стрижка,В барбершопе,2026-03-14T12:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
15,Купить билеты,На концерт в апреле,2026-03-15T10:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
16,Починить кран,Вызвать сантехника,2026-03-16T11:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
17,Встреча с Машей,Кафе на Арбате,2026-03-17T14:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
18,Оплатить аренду,До конца месяца,2026-03-18T09:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
19,Запись к стоматологу,Профилактика,2026-03-19T10:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
20,Забрать документы,Из МФЦ,2026-03-20T11:00:00,47dd73a8-724c-432b-ade8-69dc1f512a92
